Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2020-11-25 09:49:00-05:00,549.165283203125,550.1300048828125,548.44677734375,548.655029296875,215544,0,0,TSLA
2020-11-25 09:50:00-05:00,548.530029296875,548.8800048828125,547.0401000976562,547.149169921875,186650,0,0,TSLA
2020-11-25 09:51:00-05:00,547.3400268554688,549.4199829101562,547.2000732421875,549.1076049804688,151886,0,0,TSLA
2020-11-25 09:52:00-05:00,549.030029296875,550.1099853515625,548.6900024414062,549.835205078125,156798,0,0,TSLA
2020-11-25 09:53:00-05:00,549.8184814453125,552.6699829101562,549.77001953125,552.114990234375,251050,0,0,TSLA
2020-11-25 09:54:00-05:00,552.135009765625,552.2999877929688,550.5499877929688,551.0299072265625,145504,0,0,TSLA
2020-11-25 09:55:00-05:00,550.9249877929688,551.9525146484375,550.6950073242188,551.8049926757812,141679,0,0,TSLA
2020-11-25 09:56:00-05:00,551.805908203125,551.8076171875,549.239990234375,549.469482421875,126075,0,0,TSLA
2020-11-25 09:57:00-05:00,549.375,549.6300048828125,548.6199951171875,549.1079711914062,123608,0,0,TSLA
2020-11-25 09:58:00-05:00,549.1212158203125,549.9400024414062,548.7999877929688,549.4500122070312,102358,0,0,TSLA
2020-11-25 09:59:00-05:00,549.4600219726562,550.838623046875,549.0161743164062,550.5650024414062,111413,0,0,TSLA
2020-11-25 10:00:00-05:00,550.5789184570312,551.5,550.2999877929688,551.0,116009,0,0,TSLA
2020-11-25 10:01:00-05:00,550.9627075195312,551.139892578125,548.1400146484375,548.4110717773438,153372,0,0,TSLA
2020-11-25 10:02:00-05:00,548.373291015625,550.0,548.1599731445312,549.5999755859375,106175,0,0,TSLA
2020-11-25 10:03:00-05:00,549.5999755859375,550.0,548.6500244140625,549.10498046875,79474,0,0,TSLA
2020-11-25 10:04:00-05:00,549.0,549.0,547.0,547.8900146484375,190298,0,0,TSLA
2020-11-25 10:05:00-05:00,547.9509887695312,548.4500122070312,547.2999877929688,547.6099853515625,86215,0,0,TSLA
2020-11-25 10:06:00-05:00,547.7698974609375,547.7698974609375,546.0399780273438,546.073974609375,151006,0,0,TSLA
2020-11-25 10:07:00-05:00,546.2161865234375,546.8499755859375,545.75,546.7866821289062,159605,0,0,TSLA
